run_accession	biosample	subject_id	hiv_group	repeat_status	mapping_status	analysis_eligible
SRR24785353	SAMN35536438	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785352	SAMN35536439	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785351	SAMN35536440	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785349	SAMN35536441	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785348	SAMN35536442	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785347	SAMN35536443	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785346	SAMN35536444	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785345	SAMN35536445	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785344	SAMN35536446	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785343	SAMN35536447	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785342	SAMN35536448	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785341	SAMN35536449	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785340	SAMN35536450	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784901	SAMN35536451	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784900	SAMN35536452	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784899	SAMN35536453	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784898	SAMN35536454	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784897	SAMN35536455	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784896	SAMN35536456	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784895	SAMN35536457	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784894	SAMN35536458	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784893	SAMN35536459	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784892	SAMN35536460	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784890	SAMN35536461	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784889	SAMN35536462	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784888	SAMN35536463	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784887	SAMN35536464	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784886	SAMN35536465	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784885	SAMN35536466	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784884	SAMN35536467	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784883	SAMN35536468	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784882	SAMN35536469	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784881	SAMN35536470	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784879	SAMN35536471	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784878	SAMN35536472	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784877	SAMN35536473	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784876	SAMN35536474	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784875	SAMN35536475	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784874	SAMN35536476	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784873	SAMN35536477	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785089	SAMN35536287	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785266	SAMN35536310	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785254	SAMN35536311	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784978	SAMN35536382	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785014	SAMN35536252	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784891	SAMN35536272	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784872	SAMN35536478	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784871	SAMN35536479	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784870	SAMN35536480	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784868	SAMN35536481	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784867	SAMN35536482	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784866	SAMN35536483	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784865	SAMN35536484	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784864	SAMN35536485	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784863	SAMN35536486	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784862	SAMN35536487	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784861	SAMN35536488	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784860	SAMN35536489	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784854	SAMN35536494	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784853	SAMN35536495	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784859	SAMN35536490	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784852	SAMN35536496	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784857	SAMN35536491	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784856	SAMN35536492	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784855	SAMN35536493	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784851	SAMN35536497	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784850	SAMN35536498	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784849	SAMN35536499	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784848	SAMN35536500	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784841	SAMN35536506	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784840	SAMN35536507	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784846	SAMN35536501	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784845	SAMN35536502	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784844	SAMN35536503	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784843	SAMN35536504	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784842	SAMN35536505	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784839	SAMN35536508	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784838	SAMN35536509	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784837	SAMN35536510	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784835	SAMN35536511	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785194	SAMN35536516	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785193	SAMN35536517	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784834	SAMN35536512	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784833	SAMN35536513	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24784832	SAMN35536514	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785195	SAMN35536515	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785192	SAMN35536518	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785191	SAMN35536519	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785190	SAMN35536520	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785188	SAMN35536521	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785187	SAMN35536522	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785186	SAMN35536523	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785185	SAMN35536524	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785184	SAMN35536525	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785183	SAMN35536526	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785182	SAMN35536527	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785181	SAMN35536528	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785174	SAMN35536534	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785180	SAMN35536529	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785179	SAMN35536530	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785177	SAMN35536531	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785176	SAMN35536532	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785175	SAMN35536533	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785173	SAMN35536535	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785172	SAMN35536536	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785171	SAMN35536537	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785170	SAMN35536538	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785169	SAMN35536539	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785168	SAMN35536540	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785166	SAMN35536541	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785165	SAMN35536542	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785163	SAMN35536544	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785162	SAMN35536545	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785161	SAMN35536546	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785164	SAMN35536543	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785157	SAMN35536550	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785160	SAMN35536547	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785159	SAMN35536548	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785158	SAMN35536549	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785154	SAMN35536551	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785153	SAMN35536552	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785152	SAMN35536553	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785151	SAMN35536554	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785150	SAMN35536555	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785149	SAMN35536556	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785148	SAMN35536557	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785147	SAMN35536558	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785146	SAMN35536559	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785145	SAMN35536560	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785143	SAMN35536561	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785142	SAMN35536562	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785141	SAMN35536563	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785140	SAMN35536564	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785139	SAMN35536565	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785138	SAMN35536566	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785131	SAMN35536572	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785137	SAMN35536567	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785136	SAMN35536568	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785135	SAMN35536569	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785134	SAMN35536570	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785132	SAMN35536571	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785130	SAMN35536573	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785126	SAMN35536577	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785129	SAMN35536574	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785128	SAMN35536575	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785127	SAMN35536576	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785125	SAMN35536578	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785124	SAMN35536579	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785123	SAMN35536580	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785121	SAMN35536581	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785120	SAMN35536582	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785119	SAMN35536583	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785118	SAMN35536584	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785117	SAMN35536585	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785116	SAMN35536586	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785115	SAMN35536587	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785114	SAMN35536588	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785113	SAMN35536589	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785112	SAMN35536590	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785110	SAMN35536591	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785109	SAMN35536592	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785108	SAMN35536593	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785107	SAMN35536594	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785106	SAMN35536595	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785105	SAMN35536596	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785104	SAMN35536597	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785103	SAMN35536598	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785102	SAMN35536599	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785101	SAMN35536600	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785099	SAMN35536601	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785098	SAMN35536602	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
SRR24785097	SAMN35536603	UNRESOLVED	UNRESOLVED	No repeated BioSample among 718 runs; patient identity not recoverable	BLOCKED	NO
