run_accession	experiment_accession	ena_biosample	secondary_sample	ngdc_biosample	submitted_sample_name	subject_id	published_group	group_evidence	specimen	site	platform	layout	read_length	compressed_bytes	md5	fastq_ftp	host_depletion_provenance	pilot_biological_eligibility
DRR770677	DRX749655	SAMD01673421	DRS538232	SAMC5008526	BALF_064	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	67509092	2e42822f6f42fcf6fc5ce88071d35097	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770677/DRR770677.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770685	DRX749663	SAMD01673429	DRS538240	SAMC5008534	BALF_072	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	107325517	b72029534463193ad3047cf569036623	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770685/DRR770685.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770686	DRX749664	SAMD01673430	DRS538241	SAMC5008535	BALF_073	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	212942232	5e3654e6c37d94a864d1c654df708060	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770686/DRR770686.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770687	DRX749665	SAMD01673431	DRS538242	SAMC5008536	BALF_074	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	80176782	e10666061c8c89d2f3d5541da5cd6450	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770687/DRR770687.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770688	DRX749666	SAMD01673432	DRS538243	SAMC5008537	BALF_075	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	83738468	0639a80a764cd3671fbf888c99462a53	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770688/DRR770688.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770690	DRX749668	SAMD01673434	DRS538245	SAMC5008539	BALF_077	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	22044552	21cae7f499d37ae09eefa21993c7fdaa	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770690/DRR770690.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770693	DRX749671	SAMD01673437	DRS538248	SAMC5008542	BALF_080	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	90472027	fd0c028a7a3c6767f9c21ffd80104c32	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770693/DRR770693.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770697	DRX749675	SAMD01673441	DRS538252	SAMC5008546	BALF_084	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	14970493	97c2bf268ba19bf98789d43336314c66	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770697/DRR770697.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770698	DRX749676	SAMD01673442	DRS538253	SAMC5008547	BALF_085	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	33882450	650f4f51397c96ee06af4feedbaa578b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770698/DRR770698.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770701	DRX749679	SAMD01673445	DRS538256	SAMC5008550	BALF_088	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	16950854	3c80923bdb5f7cf96e45c05f2f5df404	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770701/DRR770701.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770708	DRX749686	SAMD01673452	DRS538263	SAMC5008557	BALF_095	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	228599811	17414d20ad76b3795c32217935b90a4a	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770708/DRR770708.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770712	DRX749690	SAMD01673456	DRS538267	SAMC5008561	BALF_099	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	52420769	fa9bfd684df5a5c4ada450f73c6c73a7	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770712/DRR770712.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770715	DRX749693	SAMD01673459	DRS538270	SAMC5008564	BALF_102	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	31330359	6db669c867687f416e92beb497c4d795	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770715/DRR770715.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770718	DRX749696	SAMD01673462	DRS538273	SAMC5008567	BALF_105	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	5911660	70bdbfb5fdce4fe4480fa1aed74e4014	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770718/DRR770718.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770722	DRX749700	SAMD01673466	DRS538277	SAMC5008571	BALF_109	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	6847449	6d4a3e86819e101e1313c3018b662abe	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770722/DRR770722.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770728	DRX749706	SAMD01673472	DRS538283	SAMC5008577	BALF_115	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	39403800	b55f5a3e91ae96e97c965f84c9222190	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770728/DRR770728.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770729	DRX749707	SAMD01673473	DRS538284	SAMC5008578	BALF_116	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	517310051	4d509a9b06353c1b359c7bbad85f0362	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770729/DRR770729.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770732	DRX749710	SAMD01673476	DRS538287	SAMC5008581	BALF_119	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	105051017	d4cfd0bc7348715d97dfbb40eaf38611	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770732/DRR770732.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770734	DRX749712	SAMD01673478	DRS538289	SAMC5008583	BALF_121	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	12370506	e22c7a33a7cd227ead91794719953022	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770734/DRR770734.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770735	DRX749713	SAMD01673479	DRS538290	SAMC5008584	BALF_122	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	8890147	c4a82d5356b4221e6602d26fdf5b4d8d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770735/DRR770735.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770736	DRX749714	SAMD01673480	DRS538291	SAMC5008585	BALF_123	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	8629892	2dd733f6c01343a34fea75d6c5f5bca2	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770736/DRR770736.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770738	DRX749716	SAMD01673482	DRS538293	SAMC5008587	BALF_125	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	233378589	0758d456ef5dcdc8a5be91d7e4cad085	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770738/DRR770738.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770739	DRX749717	SAMD01673483	DRS538294	SAMC5008588	BALF_126	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	10082078	bac3230802426ee6e339ab024f317f17	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770739/DRR770739.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770743	DRX749721	SAMD01673487	DRS538298	SAMC5008592	BALF_130	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	71712296	56aa6d4c1390275b79b9f21001446ab6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770743/DRR770743.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770750	DRX749728	SAMD01673494	DRS538305	SAMC5008599	BALF_137	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	19252201	b2ebcdd2e62143fe6ce9d0679b94a28d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770750/DRR770750.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770753	DRX749731	SAMD01673497	DRS538308	SAMC5008602	BALF_140	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	41176827	e65b183ba8b2f316ce3df9bfa1fe2c74	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770753/DRR770753.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770754	DRX749732	SAMD01673498	DRS538309	SAMC5008603	BALF_141	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	18991748	10ba776363f74709376d74b043d6f9de	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770754/DRR770754.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770755	DRX749733	SAMD01673499	DRS538310	SAMC5008604	BALF_142	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	65087729	cef463cff4f74e4e61ccf8220d693a41	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770755/DRR770755.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770757	DRX749735	SAMD01673501	DRS538312	SAMC5008606	BALF_144	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	56502105	1abbbd785f93d392b9573965d53104d6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770757/DRR770757.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770758	DRX749736	SAMD01673502	DRS538313	SAMC5008607	BALF_145	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	18141302	b4ce10b9a1a61d9e3b2d59f10e777f23	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770758/DRR770758.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
DRR770760	DRX749738	SAMD01673504	DRS538315	SAMC5008609	BALF_147	UNRESOLVED	UNRESOLVED	No direct run/BioSample-to-clinical-row key in public metadata	BALF	Zengcheng Branch of Nanfang Hospital, Southern Medical University	NextSeq 550	SINGLE	40	18618230	411a1862e7d823332ca995b17fb2dfb9	ftp.sra.ebi.ac.uk/vol1/fastq/DRR770/DRR770760/DRR770760.fastq.gz	Specimen nuclease depletion and paper-level hg38 subtraction reported; deposited-file state unresolved	NO
